0,1,2,3,4,5,6,7,8,9,10
Rendalo Maq,Joaquin Araujo,"Since I was a child I have had an entrepreneurial spirit. My biggest dream has been the founding of a technological project that helps improve quality and makes life easier for the people who use it.

""You will never achieve anything greater than the greatest of your dreams""

From Maracaibo, Venezuela🇻🇪!",Ariel Vaisman,"Chilean 🇨🇱, 28. Rendalo Maq is my 3rd startup. As CEO I'm passionate about using technology to solve complex problems, specially in emerging markets where technology adoption is very low, and opportunities are big. Entrepreneurial mindset, strong financial skills, and I love machines! 👷🏼‍♂️🚀",Juan Pablo Mir,,,,,
InstaKin,Zain Khan,"Spent first half of my career in the banking/finance industry focusing on implementing payment technologies. In the last 10 years I have worked in 2 startups (not including Instakin) - one related to semi-conductors and the other related to a platform for social media marketing.

I have also worked for Fortune 500 companies (Fiserv and LexisNexis) where I led teams to deliver next generation products related to core banking systems and AI.",Yasir Shirazi,CEO @ InstaKin. Serial Entrepreneur. Passionate about building a Platform dedicated to the needs of Migrant Communities globally.,,,,,,
Anakin,Rashmi Bala,Rashmi Bala is the co-founder and CTO of Anakin. Rashmi is responsible for hiring and running Anakin’s engineering and data science teams. She has worked across multiple eCommerce companies building softwares. She graduated from IIT Kanpur with a Bachelor in Electrical Engineering.,Mohit Prateek,"Mohit Prateek is the founder and CEO of Anakin, which he started in 2020. Mohit sets the company’s strategy to help retailers and brands, both small and big to optimise pricing, and drives Anakin’s mission to create a world where every product is sold at the right price. He completed his bachelors and masters in Chemical Engineering from IIT Bombay.",,,,,,
Bite Ninja,Orin Wilson,"Bite Ninja: Co-Founder/CFO/COO 

C3 Consolidated: Founder/Director 
Orin has been a catalyst for growth and leadership within the C3 Consolidated organization. Since co-founding the company, he has grown the group into new segments such as Virtual CFO, SaaS, Franchise Development, Financial Advisory, and Technology. Orin’s focus on developing the leadership and culture of the organization has led to the successful startup and continues to secure this success into the future.",William Clem,,,,,,,
Keeper,Kenny Song,"CTO of Keeper

Loves bookkeeping, React, and rugby.",Ben Stein,"CEO of Keeper

Previously:
* CFO @ Mira (enterprise AR startup)
* Operations @ SpaceX
* Business Analytics @ Amazon",,,,,,
Cabal,Fahim Ferdous,"ex-AdQuick, Instacart, Yammer",Brian Murray,"Spent the last 10 years doing SaaS: Yammer, Cotap, Zenefits, Craft. Big fan of Bitcoin, soccer, and Moraga. Love my wife and three daughters.",,,,,,
"V-Flow Medical, Inc",Peter Balmforth,"I am serial entrepreneur in the med tech space, developing my skill set from the bedside to the board room, giving me a unique perspective to the key elements of success. From design, validation, commercialisation & company merger and acquisition. I have strong interpersonal skills, developing strong KoL relationships which continue today. I am a firm believer in developing long term strategy, with short term achievable goals, but with an open mind to reassess, adapt and execute change.",Rodney Brenneman,"Rodney is a mechanical engineer by training with over 40 years of experience in medical device development, mostly in early stage start-up companies. His experience spans many specialties including general surgery, laparoscopy, interventional cardiology, peripheral vascular, emergency medicine, ENT, GI, urology and orthopedics. He has helped start over a half-dozen companies and loves the early stage energy. Rodney is a named inventor on over 100 patents.",Darren Spencer,"Darren Spencer is a serial entrepreneur and patent writer in the field of medical devices. He is currently a founder and board member of V-Flow Medical. His in depth clinical knowledge comes from his time as a Cardiac Physiologist at Glenfield hospital, UK. 

Darren has been an integral part of 9 startups in the last 20 years working globally in various roles. 7 have exited totalling almost 2 Billion USD.

Outside of work he is learning German, a keen cyclist and F1 supporter.",paul sobotka,"Stanford-BS,, University of Illinois-MD., Internal Medicine-Michigan,, Cardiovascular diseases-Northwestern.Tenured in Medicine and Physiology at Loyola;Vice Chair, dept Medicine Wayne State, Chief Medical Officer St Mary Hospital. Chief Medical Officer of Ardian, CHF Solutions, Rox Medical; Entrepreneur in Residence, The White House. >200 published manuscripts.Interests: interaction of arterial compliance and venous capacitance congestion & HTN, regulation of splanchnic capacitance.",,
AppX,Anuj Gupta,Tech Enthusiast,Sameer Sadana,Edtech SAAS entrepreneur,,,,,,
AlgoUniversity,Swapnil Daga,"Co-Founder at AlgoUniversity (S21)

I previously worked as an SRE intern at Google, and as an SWE at Apple after graduating from university. I have an extensive teaching experience and have previously taught in other edtech startups as lead instructor for over 2 years, with my students bagging offers from Google, Microsoft, Bytedance etc. I look after scaling the teaching infrastructure at AlgoUniversity.",Manas Kumar Verma,,Sailesh Rekhani,,,,,
Echoes HQ,Arnaud Porterie,"🦋 ex Dep. CTO @ Veepee
🐳 ex Sr. Engineering Manager @ Docker
🇳🇱 Paris, SF, now Amsterdam
📸 Photo enthusiast
👌 It's pronounced Arno",,,,,,,,
Advantage Club,Smiti Bhatt Deorah,Sourabh Deorah,,,,,,,,
Nino Foods,Nishant Jhaveri,"Nishant is an Insead MBA and Babson college alum with retail operations experience in India. Previously he worked on Growth at the CEO's Office at India's largest Auto Dealership Group. There he worked closely with the investors from TPG on company strategy, and with large brands like Mercedes Benz on new location launches.",Pranav Mehra,"Pranav Mehra is the Co Founder of Nino Foods. You can catch Pranav deeply studying his customers wants, needs and behaviours to better their food experiences. Pranav is the go to for all things marketing, branding and business development. 
Previously, Pranav founded a talent placement platform for the Film and Entertainment Industry and also led online revenue for Disney UTV and Condenast in India. 
Pranav is an Indiana Alumni with a BA in Telecommunications and Psychology",,,,,,
Rivia.AI,Prabal Agarwal,Building Rivia.AI,Samay Jain,Co-Founder and CEO at Rivia.AI,,,,,,
BLUUMBIO,Katherine French,"I am a biologist dedicated to developing new technologies that harness nature to clean up the environment. I completed my PhD in the Department of Plant Sciences at Oxford University in 2016. Since then, I have worked at UC Berkeley and Lawrence Berkeley National Lab to engineer organisms for bioremediation and to understand the environmental effects of genetically engineered bacteria and plants. BluumBio combines my passion for sustainability with my commitment to bioinovation.",,,,,,,,
Parallel Bio,Robert DiFazio,"Robert is a co-founder and CEO of Parallel Bio. Previously he was Director of Strategy & Research Development at Stanford University where he oversaw a $100M scientific portfolio and ran 8 large-scale R&D programs. He completed his postdoctoral training at Stanford, holds a PhD from the University of Pittsburgh, and a BS from the University of Illinois.",Juliana Hilliard,Juliana is a co-founder and the CSO of Parallel Bio. She previously worked at System1 Biosciences managing R&D brain organoid drug discovery teams and has extensive experience developing mini-organ systems to better model human disease. Her degrees include an MSc in Bioengineering from TU Dresden and a BSc in Biological Sciences from Virginia Tech.,,,,,,
Zazos,Roger Garcia,"Roger Garcia is the co-founder and CTO of Zazos (YC S21). He was also the CTO at Quero Education (YC S16), where he helped grow revenue 120x and scale the tech team from 8 to 150 people. Previously, he co-founded another startup in the ML space. Roger holds a BS in Computer Engineering.",Alexandre Maluli,"Alexandre Maluli, co-founder and CEO of Zazos (YC S21). Previously, Alex founded Estudar com Voce, a ""for-profit Khan Academy"" for Brazilian college students. The startup reached students from over 700 colleges and was acquired by the Italian group Docsity in 2020, during which he exited successfully.",Murilo Narciso,"Co-founder and CPO of Zazos (YC S21). Murilo is a software engineer and was the Head of HR at Quero Education (YC S16), joining when it had 150 employees and scaling it to 700+. He also built Rio, an HR app that 70% of Quero’s employees used on a weekly basis.",,,,
Instacrops,Mario Bustamante,"Second founder, electronics engineer and a lot of experience developing tailor made hardware and IoT devices. In 2007 I founded my first startup that sold more than 11,000 proprietary electronic devices to small and large scale companies. Currently obsessed with Instacrops, an #agtech project to transform global agriculture by maximizing profitability of high value crops giving real time insights for farmers",Fabian Martinez,,JUAN ORTIZ,,,,,
